Date,Product,Sales Amount,City
2023-01-12,Product B,145.72,New York
2023-10-03,Product D,454.15,New York
2023-09-18,Product D,138.04,New York
2023-02-09,Product C,282.93,New York
2023-11-30,Product A,171.44,New York
2023-06-29,Product D,460.63,New York
2023-02-01,Product A,436.68,New York
2023-01-22,Product C,296.4,New York
2023-12-10,Product A,481.77,New York
2023-04-02,Product B,119.23,New York
2023-08-11,Product A,338.18,New York
2023-07-02,Product B,354.37,New York
2023-06-08,Product B,441.28,New York
2023-04-05,Product D,127.49,New York
2023-03-29,Product C,131.56,New York
2023-11-05,Product C,56.59,New York
2023-01-04,Product D,320.78,New York
2023-05-23,Product A,402.09,New York
2023-11-30,Product C,417.15,New York
2023-09-13,Product D,357.08,New York
2023-02-13,Product D,427.12,New York
2023-10-09,Product B,453.49,New York
2023-12-21,Product A,470.54,New York
2023-02-24,Product D,491.97,New York
2023-07-07,Product A,109.16,New York
2023-07-19,Product C,62.75,New York
2023-05-25,Product C,194.43,New York
2023-06-15,Product A,412.62,New York
2023-05-29,Product C,469.84,New York
2023-02-22,Product A,371.68,New York
2023-03-08,Product B,164.26,New York
2023-03-03,Product B,291.13,New York
2023-11-11,Product D,331.42,New York
2023-03-20,Product D,331.51,New York
2023-02-08,Product A,182.91,New York
2023-10-12,Product D,215.91,New York
2023-10-03,Product B,235.48,New York
2023-12-09,Product A,167.48,New York
2023-09-07,Product C,242.47,New York
2023-11-07,Product A,377.44,New York
2023-11-15,Product B,405.04,New York
2023-11-05,Product D,470.0,New York
2023-07-19,Product C,399.51,New York
2023-12-12,Product C,442.26,New York
2023-10-20,Product D,221.18,New York
2023-01-26,Product C,402.35,New York
2023-02-02,Product A,483.97,New York
2023-10-26,Product C,159.95,New York
2023-08-12,Product C,466.54,New York
2023-11-10,Product C,238.91,New York
2023-01-11,Product A,50.63,New York
2023-11-18,Product D,93.64,New York
2023-06-11,Product A,230.5,New York
2023-05-21,Product A,282.49,New York
2023-05-12,Product D,490.53,New York
2023-06-12,Product D,415.81,New York
2023-04-13,Product B,278.36,New York
2023-04-08,Product C,232.93,New York
2023-12-20,Product A,379.52,New York
2023-09-10,Product C,207.44,New York
2023-06-03,Product A,150.82,New York
2023-12-23,Product D,384.46,New York
2023-06-09,Product B,189.41,New York
2023-12-27,Product A,483.76,New York
2023-10-06,Product C,394.22,New York
2023-09-12,Product B,293.24,New York
2023-12-16,Product A,284.34,New York
2023-06-16,Product D,354.57,New York
2023-11-15,Product C,225.23,New York
2023-07-27,Product B,425.6,New York
2023-02-09,Product C,413.65,New York
2023-08-31,Product D,375.66,New York
2023-11-18,Product B,373.5,New York
2023-10-04,Product C,116.12,New York
2023-08-02,Product D,488.93,New York
2023-04-13,Product D,253.41,New York
2023-01-03,Product C,191.89,New York
2023-04-27,Product A,290.79,New York
2023-06-26,Product B,266.8,New York
2023-08-11,Product A,465.12,New York
2023-09-07,Product D,375.16,New York
2023-10-12,Product C,232.87,New York
2023-09-09,Product C,116.23,New York
2023-10-06,Product C,332.96,New York
2023-08-22,Product A,386.15,New York
2023-01-21,Product B,402.53,New York
2023-03-10,Product B,98.24,New York
2023-06-10,Product D,62.87,New York
2023-04-04,Product C,282.66,New York
2023-09-19,Product C,97.46,New York
2023-05-03,Product B,401.77,New York
2023-05-26,Product A,251.21,New York
2023-10-05,Product D,183.64,New York
2023-01-11,Product D,315.15,New York
2023-12-19,Product C,202.07,New York
2023-02-01,Product B,98.07,New York
2023-11-12,Product C,303.07,New York
2023-03-20,Product B,447.63,New York
2023-06-24,Product B,205.22,New York
2023-10-14,Product B,137.15,New York
