Date,Product,Sales Amount,City
2023-09-04,Product B,172.33,Tokyo
2023-07-09,Product C,189.43,Tokyo
2023-01-05,Product C,467.88,Tokyo
2023-12-24,Product C,245.13,Tokyo
2023-03-11,Product C,95.09,Tokyo
2023-02-04,Product B,53.88,Tokyo
2023-11-17,Product B,307.35,Tokyo
2023-07-08,Product A,375.82,Tokyo
2023-01-27,Product C,70.62,Tokyo
2023-08-17,Product D,286.8,Tokyo
2023-12-20,Product D,376.91,Tokyo
2023-10-06,Product C,242.94,Tokyo
2023-02-20,Product B,408.24,Tokyo
2023-01-04,Product B,398.61,Tokyo
2023-04-30,Product C,99.89,Tokyo
2023-11-01,Product B,164.67,Tokyo
2023-09-02,Product A,209.17,Tokyo
2023-03-25,Product B,353.8,Tokyo
2023-07-05,Product D,472.1,Tokyo
2023-11-24,Product D,385.92,Tokyo
2023-01-30,Product A,298.66,Tokyo
2023-03-12,Product B,357.16,Tokyo
2023-02-17,Product A,157.3,Tokyo
2023-05-11,Product D,156.88,Tokyo
2023-12-13,Product B,373.17,Tokyo
2023-08-19,Product A,71.28,Tokyo
2023-11-22,Product B,316.41,Tokyo
2023-04-04,Product C,118.87,Tokyo
2023-04-11,Product C,151.52,Tokyo
2023-07-27,Product D,73.05,Tokyo
2023-02-07,Product A,367.76,Tokyo
2023-01-20,Product A,138.0,Tokyo
2023-11-19,Product C,141.7,Tokyo
2023-04-30,Product B,318.71,Tokyo
2023-02-12,Product A,67.55,Tokyo
2023-06-16,Product C,250.84,Tokyo
2023-01-19,Product C,357.33,Tokyo
2023-08-12,Product D,273.06,Tokyo
2023-04-06,Product C,285.96,Tokyo
2023-06-16,Product B,297.65,Tokyo
2023-09-09,Product B,419.28,Tokyo
2023-10-01,Product B,89.23,Tokyo
2023-05-13,Product B,210.09,Tokyo
2023-02-28,Product C,70.2,Tokyo
2023-10-07,Product B,430.09,Tokyo
2023-10-04,Product D,347.11,Tokyo
2023-06-23,Product D,253.11,Tokyo
2023-05-02,Product C,306.25,Tokyo
2023-04-12,Product A,247.38,Tokyo
2023-11-10,Product B,211.99,Tokyo
2023-06-12,Product C,81.29,Tokyo
2023-04-10,Product A,315.29,Tokyo
2023-01-23,Product A,218.91,Tokyo
2023-10-31,Product C,339.75,Tokyo
2023-03-28,Product B,153.67,Tokyo
2023-12-15,Product D,498.7,Tokyo
2023-08-26,Product D,324.02,Tokyo
2023-05-20,Product C,489.37,Tokyo
2023-06-16,Product A,123.23,Tokyo
2023-05-06,Product A,282.33,Tokyo
2023-11-04,Product D,299.61,Tokyo
2023-03-12,Product B,219.35,Tokyo
2023-10-29,Product B,275.56,Tokyo
2023-06-12,Product C,89.55,Tokyo
2023-08-06,Product B,342.99,Tokyo
2023-09-23,Product B,94.24,Tokyo
2023-03-13,Product A,80.71,Tokyo
2023-08-25,Product D,294.44,Tokyo
2023-08-25,Product C,314.02,Tokyo
2023-02-03,Product C,76.43,Tokyo
2023-03-17,Product C,493.59,Tokyo
2023-02-13,Product B,377.23,Tokyo
2023-12-18,Product C,104.85,Tokyo
2023-03-06,Product B,82.53,Tokyo
2023-11-09,Product A,401.83,Tokyo
2023-10-17,Product A,74.23,Tokyo
2023-12-20,Product B,346.11,Tokyo
2023-02-10,Product D,213.98,Tokyo
2023-12-02,Product B,263.34,Tokyo
2023-08-17,Product A,231.67,Tokyo
2023-06-20,Product A,428.02,Tokyo
2023-02-27,Product A,132.39,Tokyo
2023-11-29,Product A,402.72,Tokyo
2023-06-20,Product A,407.7,Tokyo
2023-03-29,Product C,84.65,Tokyo
2023-05-13,Product C,92.19,Tokyo
2023-09-03,Product D,342.0,Tokyo
2023-10-04,Product A,277.97,Tokyo
2023-01-04,Product A,456.84,Tokyo
2023-10-29,Product B,372.11,Tokyo
2023-01-07,Product A,198.43,Tokyo
2023-10-31,Product A,171.88,Tokyo
2023-03-04,Product C,279.7,Tokyo
2023-04-10,Product B,438.66,Tokyo
2023-04-07,Product D,98.66,Tokyo
2023-11-12,Product B,88.9,Tokyo
2023-02-17,Product C,237.69,Tokyo
2023-05-02,Product A,199.55,Tokyo
2023-08-30,Product D,155.86,Tokyo
2023-06-30,Product B,152.81,Tokyo
